आफ्रिकाखण्डः	Африка
मणिपुरीनृत्यम्	Манипури (танец)
एजिकील् फ्रैएर्स्	Фрайерс, Эзекил
दादा साहेब फाळके	Пхальке, Дадасахеб
मडगांव	Маргао
अकोलामण्डलम्	Акола (округ)
गदग	Гадаг-Бетигери
अर्कसस्यम्	Калотропис гигантский
आजमगढ-नगरम्	Азамгарх
रीवामण्डलम्	Рева (округ)
दक्षिणदिनाजपुर-मण्डलम्	Южный Динаджпур
सबाधधावनम्	Бег с барьерами
झालावाड	Джхалавар
दक्षिणभारतम्	Южная Индия
बृहदारण्यकोपनिषत्	Брихадараньяка-упанишада
कगायान	Кагаян (река)
हुगलिमण्डलम्	Хугли (округ)
पश्चिमदेहलीमण्डलम्	Западный Дели
नाट्यशास्त्रम् (ग्रन्थः)	Натьяшастра
प्राचीनगोवा	Старый Гоа
बसप्प दानप्प जत्ति	Джатти, Басаппа Данаппа
बि.के.एस्. अय्यङ्गार्	Айенгар, Беллур Кришнамачар Сундарараджа
मुहम्मद हिदायतुल्लाह	Хидаятулла, Мухаммад
दिङ्नागः	Дигнага
भरतपुरम्	Бхаратпур (Индия)
अनुपम खेर	Кхер, Анупам
चित्तरञ्जन दास	Дас, Читтаранджан
लालूप्रसाद यादव	Ядав, Лалу Прасад
झार्सुगुड मण्डलम्	Джхарсугуда (округ)
उशनाः	Шукра
कदम्बः	Neolamarckia cadamba
वडोदरामण्डलम्	Вадодара (округ)
उत्तरकन्नडमण्डलम्	Северная Каннада
पाटण	Патан (город, Гуджарат)
कूर्मपुराणम्	Курма-пурана
औरैया	Аурайя
अक्बरपुरम्, रमाबायीनगरम्	Акбарпур (Рамабайнагар)
उडुपीमण्डलम्	Удипи
बलियामण्डलम्	Баллия (округ)
बदरीनाथः	Бадринатх
अल्मोडा	Алмора
अमरकण्टक	Амаркантак
अमरेली	Амрели
एडवर्ड ८	Эдуард VIII
अरोविले	Ауровиль
बादामी	Бадами
मैसूरुमण्डलम्	Майсур (округ)
औरङ्गाबादमण्डलम्	Аурангабад (округ, Махараштра)
बुरहानपुरम्	Бурханпур
कुरुक्षेत्रम्	Курукшетра
न्यायदर्शनम्	Ньяя
राजसमन्दमण्डलम्	Раджсаманд (округ)
सिन्धुलिपिः	Письменность долины Инда
कुसुमकन्दरराष्ट्रियोद्यानम्	Долина Цветов
हितोपदेशः	Хитопадеша
आग्रामण्डलम्	Агра (округ)
