Hui-chiu	Африка
Kim-siâⁿ Bú	Канэсиро, Такэси
Jim Cummings	Каммингс, Джим
Dick Van Dyke	Ван Дайк, Дик
Sūn-tī Hông-tè	Шуньчжи
Saigô Takamori	Сайго Такамори
Alan Baker	Бейкер, Алан
Karl Pearson	Пирсон, Карл
Craig Venter	Вентер, Крейг
Sian-thô	Канистел
Chiu Seng-tî	Чоу, Стивен
Nurhaci	Айсиньгиоро Нурхаци
John Lithgow	Литгоу, Джон
Jean Fouquet	Фуке, Жан
Chhiū-m̂	Восковница красная
James Patterson	Паттерсон, Джеймс
Rafael Moneo	Монео, Рафаэль
Wayne Knight	Найт, Уэйн
Andy Griffith	Гриффит, Энди
Pe̍h-lêng-si	Белые цапли
Tiong-se-khu (Hiong-káng)	Центральный и Западный округ Гонконга
Nâ-tâu	Пандан кровельный
Kôan Thian-hông	Император Коан
Wael Ghonim	Гоним, Ваиль
Henryk Szeryng	Шеринг, Генрик
Maki Humihiko	Маки, Фумихико
Samuel Butler	Батлер, Сэмюэл
Eduardo Souto de Moura	Соуту де Моура, Эдуарду
Gordon Cooper	Купер, Лерой Гордон
C. Wright Mills	Миллс, Чарльз Райт
Christian de Portzamparc	Портзампарк, Кристиан де
Kôsyô Thian-hông	Император Косё
Robert K. Merton	Мертон, Роберт Кинг
Daniel Inouye	Иноуи, Дэниел
Thom Mayne	Мейн, Том
Rama 4-sè	Монгкут
Carl Van Vechten	Ван Вехтен, Карл
Neal Stephenson	Стивенсон, Нил
Paulo Mendes da Rocha	Мендес да Роша, Паулу
Eugène Ysaÿe	Изаи, Эжен
Kôrei Thian-hông	Император Корэй
Lô͘ Giān-hun	Лу Яньсюнь
John G. Thompson	Томпсон, Джон Григгс
Ô͘ Ka	Ху Цзя
Gô͘ Chok-tòng	Го Чок Тонг
Suizei Thian-hông	Император Суйдзэй
Sun Khoân	Сунь Цюань
Chô Phi	Цао Пэй
Annei Thian-hông	Император Аннэй
Jean-Henri Fabre	Фабр, Жан Анри
Gary Coleman	Коулман, Гэри
Rip Torn	Торн, Рип
Dirk Bouts	Баутс, Дирк
Alain Connes	Конн, Ален
Chiúⁿ Keng-kok	Цзян Цзинго
Tek-chhoan Kong-kiat	Токугава Цунаёси
Tô Chiâm	Тао Юаньмин
Tek-chhoan Siù-tiong	Токугава Хидэтада
Hal Holbrook	Холбрук, Хэл
Richard Griffiths	Гриффитс, Ричард
Donald Pleasence	Плезенс, Дональд
Stephen Smale	Смэйл, Стивен
Laurent Lafforgue	Лаффорг, Лоран
Jesse Douglas	Дуглас, Джесси
Andrej Okun'kov	Окуньков, Андрей Юрьевич
Philip Sidney	Сидни, Филип
Lí Teng-hui	Ли Дэнхуэй
Yohannes 4-sè	Йоханныс IV
John Barth	Барт, Джон
Sèng-tàn Lāu-lâng	Санта-Клаус
Ken Saro-Wiwa	Саро-Вива, Кен
Na'vi-gí	На’ви (язык)
Daniel François Malan	Малан, Даниэль Франсуа
Botnet	Ботнет
Hussa-chhī	Фусса (город)
Hanamaki-chhī	Ханамаки
Higasikurume-chhī	Хигасикуруме
Kokubunzi-chhī	Кокубундзи
Eng-chèng Hông-tè	Юнчжэн
Nisio-chhī	Нисио
Inagi-chhī	Инаги
Thèng-o-giû	Улитка (анатомия)
Hàu-tek Thian-hông	Император Котоку
Narasino-chhī	Нарасино
Apolinario Mabini	Мабини, Аполинарио
Tông-tī Hông-tè	Тунчжи (император)
Sait Faik Abasıyanık	Абасыянык, Саит Фаик
Thûi-kut	Молоточек (анатомия)
Chevron	Chevron
2006 nî 1 goe̍h	Январь 2006 года
Tek-chhoan Kiat-chong	Токугава Ёсимунэ
Urayasu-chhī	Ураясу
Kawagoe-chhī	Кавагоэ
Kasiwa-chhī	Касива
Sam-a-chhī	Санья (город)
Tâi-oân Bîn-chú-kok	Республика Тайвань (1895)
Seo Jae-pil	Со Джэпхиль
Kok-gí	Национальный язык
Hái-ke-bó	Бурая олуша
Pek-ha̍p (lūi-hêng)	Юри
Pà-io kiān-sin	Отжимания
Kurume-chhī	Куруме
Matudo-chhī	Мацудо
Yonago-chhī	Йонаго
Jos	Джос
Prachinburi Hú	Прачинбури (провинция)
Västmanland	Вестманланд (провинция)
Bí-kok kok-chiu siú-hú ê lia̍t-toaⁿ	Список столиц США
Aldo Rossi	Росси, Альдо
Gravelines	Гравлин
Miroslav Krleža	Крлежа, Мирослав
Marchtrenk	Мархтренк
Grigorij Aleksandrovič Margulis	Маргулис, Григорий Александрович
Hoē-kè-su	Бухгалтер
Uzi-chhī	Удзи
Bangor, Maine	Бангор (Мэн)
Chuí-ku (thâng)	Плавунцы
Glucosamin	Глюкозамин
Buriram Hú	Бурирам (провинция)
Laramie, Wyoming	Ларами (Вайоминг)
Khon Kaen Hú	Кхонкэн (провинция)
Chanthaburi Hú	Чантхабури (провинция)
Nong Khai Hú	Нонгкхай (провинция)
Chiap-le̍k pí-sài	Эстафета
Pátria	Гимн Восточного Тимора
Sasebo-chhī	Сасебо
Ise-chhī	Исе (город)
Isesaki-chhī	Исэсаки
Hirado-chhī	Хирадо (город)
Iizuka-chhī	Иидзука
Ikoma-chhī	Икома (город)
Huzi-chhī	Фудзи (Сидзуока)
Okinawa-chhī	Окинава (город)
Noda-chhī	Нода (город)
Nagareyama-chhī	Нагареяма
Yatiyo-chhī	Ятиё (город)
Thé-kak hē-thóng	Соматосенсорная система
2006 nî 3 goe̍h	Март 2006 года
2006 nî 2 goe̍h	Февраль 2006 года
2009 nî 9 goe̍h	Сентябрь 2009 года
Parkersburg	Паркерсберг (Западная Виргиния)
Kiyose-chhī	Киёсе
Kamaisi-chhī	Камаиси
Iwakuni-chhī	Ивакуни
Ôdate-chhī	Одатэ
Kunitati-chhī	Кунитати
2011 nî 7 goe̍h	Июль 2011 года
2011 nî 6 goe̍h	Июнь 2011 года
Thiú-ah	Чирок-клоктун
Chhiau-oa̍t-chú-gī	Трансцендентализм
Ìn-nî le̍k-sú	История Индонезии
Ciudad Victoria	Сьюдад-Виктория
Ngó͘-lêng-lân	Лантана сводчатая
Kevin Roche	Роч, Кевин
Yatomi-chhī	Ятоми
Ji̍t-pún gîn-hâng	Банк Японии
Ka-khèng Hông-tè	Цзяцин
Mel Ferrer	Феррер, Мел
James Ussher	Ашшер, Джеймс
Marie François Xavier Bichat	Биша, Мари Франсуа Ксавье
Michael Freedman	Фридман, Майкл
Chîⁿ Ha̍k-sim	Цянь Сюэсэнь
Glenn Murcutt	Мёркатт, Гленн
Nassim Taleb	Талеб, Нассим Николя
Suzin Thian-hông	Император Судзин
Enrico Bombieri	Бомбиери, Энрико
Bob Saget	Сагет, Боб
Kaika Thian-hông	Император Кайка
Nicolò dell'Abate	Аббате, Никколо дель
Lí Chū-sêng	Ли Цзычэн
Kôgen Thian-hông	Император Когэн
Charles Percy Snow	Сноу, Чарльз Перси
Gordon Bunshaft	Буншафт, Гордон
Itô Toyoo	Ито, Тоёо
Hatoyama Itirô	Хатояма, Итиро
Kodaira Kunihiko	Кодайра, Кунихико
William Thurston	Тёрстон, Уильям Пол
Lars Hörmander	Хёрмандер, Ларс
Curtis T. McMullen	Макмуллен, Кёртис
Klaus Roth	Рот, Клаус Фридрих
Sergej Petrovič Novikov	Новиков, Сергей Петрович (математик)
Richard Borcherds	Борчердс, Ричард
David Mumford	Мамфорд, Дэвид
Pierre-Louis Lions	Лионс, Пьер-Луи
Simon Donaldson	Дональдсон, Саймон
Pierre Deligne	Делинь, Пьер
Efim Zel'manov	Зельманов, Ефим Исаакович
Lîm Gí-tông	Линь Юйтан
Vila Velha	Вила-Велья
Morgan Stanley	Morgan Stanley
Park Hon-yong	Пак Хон Ён
Ko-lê Thài-chó͘	Ван Гон
Tō-kong Hông-tè	Даогуан
Hâm-hong Hông-tè	Сяньфэн
CLAMP	CLAMP
2005 nî 7 goe̍h	Июль 2005 года
2005 nî 10 goe̍h	Октябрь 2005 года
DjVu	DjVu
Samut Sakhon Hú	Самутсакхон (провинция)
Khu Sêng-tông	Яу Шинтан
Sing Buri Hú	Сингбури (провинция)
Nakhon Pathom Hú	Наконпатом (провинция)
Chachoengsao Hú	Чаченгсау (провинция)
Sinkai Makoto	Синкай, Макото
Rayong Hú	Районг (провинция)
Takatuki-chhī	Такацуки
Kisarazu-chhī	Кисарадзу
Itami-chhī	Итами
Fernanda Montenegro	Монтенегру, Фернанда
Ratchaburi Hú	Ратчабури (провинция)
Lopburi Hú	Лопбури (провинция)
Lienz	Лиенц
Kiaⁿ-to͘ Tāi-ha̍k	Киотский университет
Toyohasi-chhī	Тоёхаси
Takasaki-chhī	Такасаки
Alexandre de Rhodes	Александр де Род
Olaf Stapledon	Стэплдон, Олаф
Savai'i Tó	Савайи
Saraburi Hú	Сарабури (провинция)
Sima-chhī	Сима (город)
O͘-lâng	Негроидная раса
Hadley sûn-khoân	Ячейка Хадли
Congo khóng-chhiok	Конголезский павлин
Tiám-sim	Димсам
Pat-kî	Восьмизнамённая армия
88	88 (число)
Burgess Meredith	Мередит, Бёрджесс
İzmir (séng)	Измир (ил)
Tiong-iong Kong-hn̂g	Центральный парк (значения)
Hiuⁿ	Тауншип
Vanessa Redgrave	Редгрейв, Ванесса
Lee de Forest	Форест, Ли де
Chúi-lō͘	Водоток
Johannes Gerhardus Strijdom	Стрейдом, Йоханнес
David Cross	Кросс, Дэвид (актёр)
Bāng-lō͘	Веб
Sò-lô	Саул (значения)
Lí Hông-chì	Ли Хунчжи
Siān Kok-sú	Шань Госи, Павел
Bobcat Goldthwait	Голдтуэйт, Бобкэт
Vladimir Drinfel'd	Дринфельд, Владимир Гершонович
Maxim Kontsevich	Концевич, Максим Львович
Nông Đức Mạnh	Нонг Дык Мань
Jean-Christophe Yoccoz	Йокко, Жан-Кристоф
Chê Pe̍k-se̍k	Ци Байши
Dobrica Ćosić	Чосич, Добрица
Thomas Hill Green	Грин, Томас
Peter Atkins	Эткинс, Питер
Sumoto-chhī	Сумото
Evan Hunter	Хантер, Эван
Vaughan Jones	Джонс, Вон
Nisizawa Ryue	Нисидзава, Рюэ
Siōng-bóe-ê Llywelyn	Лливелин ап Грифид
Daniel Quillen	Квиллен, Даниель
Vladimir Voevodskij	Воеводский, Владимир Александрович
William Osler	Ослер, Уильям
Johnny Appleseed	Джонни Эпплсид
Tân To̍k-siù	Чэнь Дусю
2005 nî 11 goe̍h	Ноябрь 2005 года
Jîn-bîn Hêng-tōng Tóng	Народное действие (партия)
Cuba Kiōng-sán Tóng	Коммунистическая партия Кубы
Tomigusuku-chhī	Томигусуку
Tugaru-chhī	Цугару (город)
Awazi-chhī	Авадзи (город)
Liû-hêng im-ga̍k	Популярная музыка
Jeddah	Джидда
Asikaga-chhī	Асикага
Oyama-chhī	Ояма (город)
Ebino-chhī	Эбино
Chèng-chiàu	Сертификация
Pih	Трёхкоготные черепахи
Tiong-kok Kok-chè Kóng-pò͘ Tiān-tâi	Международное радио Китая
Ji̍t-pún Lông	Хондосский японский волк
Kasukabe-chhī	Касукабе
Richard Kiel	Кил, Ричард
Halton (borough)	Холтон
Erzurum (séng)	Эрзурум (ил)
Kama-chhī	Кама (город)
Tâi-oân le̍k-sú	История Тайваня
Chông-bêng-tó	Чунминдао
Hagi-chhī	Хаги
Tiâu-sián Thài-chó͘	Ли Сонге
Lí Hông-chiong	Ли Хунчжан
Ông Hi-chi	Ван Сичжи
Hîm (tiān-iáⁿ)	Медведь (фильм, 1988)
Phoaⁿ Bûn-khái	Фан Ван Кхай
Peh-go̍eh-cheh	Праздник середины осени
Nguyễn Huệ	Нгуен Хюэ
Gê Thok-seng	Вочман Ни
Tāu-á	Бобы
Hīⁿ-kài	Ушная раковина
Lí Péng-hiàn	Ли Бёнхон
Jejomar Binay	Бинэй, Джеджомар
Piān-tong	Бэнто
Sisaket Hú	Сисакет (провинция)
Sukhothai Hú	Сукхотхай (провинция)
Hoān Peng-peng	Фань Бинбин
QBasic	QBasic
Sa Kaeo Hú	Сакэу (провинция)
Toā-thóng-it lí-lūn	Теории Великого объединения
Kalasin Hú	Каласин (провинция)
Ôda-chhī	Ода (город)
Ôbu-chhī	Обу
Ôgaki-chhī	Огаки
Ôhunato-chhī	Офунато
Ôkawa-chhī	Окава (город)
Ômati-chhī	Омати (город)
Ôme Soàⁿ	Линия Омэ
Ômihatiman-chhī	Омихатиман
Ômura-chhī	Омура
Ômuta-chhī	Омута
Ôno-chhī	Оно (город, Фукуи)
Ônozyô-chhī	Онодзё
Tendô-chhī	Тендо
Ôsakasayama-chhī	Осакасаяма
Ôsaki-chhī	Осаки (город)
Ôsyû-chhī	Осю
Minamata-chhī	Минамата
Ôta-chhī	Ота (город, Япония)
Ôtake-chhī	Отакэ (Хиросима)
2011 nî 12 goe̍h	Декабрь 2011 года
Ôtani Kôzui	Отани, Кодзуй
2011 nî 9 goe̍h	Сентябрь 2011 года
2011 nî 8 goe̍h	Август 2011 года
Ôtawara-chhī	Отавара
Ôtuki-chhī	Оцуки (город)
Niihama-chhī	Ниихама
Hikone-chhī	Хиконе
Iwata-chhī	Ивата (город)
Oozu-chhī	Одзу (город)
Huzisawa-chhī	Фудзисава (город)
Daitô-chhī	Дайто (город)
Kusatu-chhī	Кусацу (город)
Niiza-chhī	Ниидза
Yamato-chhī	Ямато (город)
Hita-chhī	Хита
Sūi-se Tek-gí	Швейцарский диалект
Kawaguti-chhī	Кавагути (город)
Kamogawa-chhī	Камогава
Kamagaya-chhī	Камагая
Afro	Афро (причёска)
Ka-cháu	Блохи
Şanlıurfa (séng)	Шанлыурфа (ил)
Chiu Sêng-ông	Чэн-ван
Trabzon (séng)	Трабзон (ил)
Lo̍k-á-chhiū	Бруссонетия бумажная
Toyokawa-chhī	Тоёкава
Kariya-chhī	Кария (Айти)
Komaki-chhī	Комаки
Inazawa-chhī	Инадзава
Neyagawa-chhī	Неягава
Achaemenes Ông-tiâu	Держава Ахеменидов
Atugi-chhī	Ацуги
Kokesi	Кокэси
Tâi-oân-sam	Тайвания
Tomakomai-chhī	Томакомай
Agano-chhī	Агано
Higasiyamato-chhī	Хигасиямато
Kanuma-chhī	Канума
Musasimurayama-chhī	Мусасимураяма
Nagato-chhī	Нагато (город)
Itinoseki-chhī	Итиносеки
Tâi-oân Chheng-tiâu sî-tāi	Цинский Тайвань
Má-thài Hok-im	Евангелие от Матфея
Židikai	Жидикай
Yamanasi	Яманаси
Michael J. Fox	Фокс, Майкл Джей
Hukui	Фукуи
Okayama	Окаяма
Kumamoto	Кумамото
Gihu	Гифу
Tyûô-khu	Тюо-ку
Saitama	Сайтама
Niigata	Ниигата
Chó͘-sian	Предок
Medang Ông-kok	Матарам
Thui-kóng Phó͘-thong-oē	Языковая политика КНР
Chûn-chāi kap Sî-kan	Бытие и время (Хайдеггер)
Io-chui-kut	Поясничные позвонки
Aioi-chhī	Аиои
Ubiquitin	Убиквитин
Isobutane	Изобутан
Khí-kho ê hu̍t-hoà-bu̍t	Фториды
Aira-chhī	Аира (город)
Hu̍t-kok-sī	Пульгукса
New York Chhī ê borough	Боро (Нью-Йорк)
Ôita	Оита
Akabira-chhī	Акабира
Akaiwa-chhī	Акаива
Hoâi-hoà-chhī	Хуайхуа
Aki-chhī	Аки (город)
Má-chó͘	Мацзу
Akitakata-chhī	Акитаката
Sek-hoà	Акклиматизация
Doxycycline	Доксициклин
Gutta-percha	Гуттаперча
O͘-kǹg	Карбид вольфрама
Orlistat	Орлистат
Akô-chhī	Ако (город)
Oa̍h-pán	Ручной набор
Lâm-chhiong-chhī (Sù-chhoan)	Наньчун
Oa̍t-lâm Kiōng-sán Tóng	Коммунистическая партия Вьетнама
